Message ID, CreationTime [μs]  , ReceiveTime [μs] , TimeDifference [μs]
0, 6000000, 6004012, 4012
1, 6000010, 6004072, 4062
2, 6000020, 6004085, 4065
3, 6000030, 6004098, 4068
4, 6000040, 6004112, 4072
5, 6000050, 6004125, 4075
6, 6000060, 6004138, 4078
7, 6000070, 6004151, 4081
8, 6000080, 6004164, 4084
9, 6000090, 6004177, 4087
10, 6000100, 6004190, 4090
11, 6000110, 6004203, 4093
12, 6000120, 6004216, 4096
13, 6000130, 6004229, 4099
14, 6000140, 6004242, 4102
15, 6000150, 6004255, 4105
16, 6000160, 6004269, 4109
17, 6000170, 6004282, 4112
18, 6000180, 6004295, 4115
19, 6000190, 6004308, 4118
20, 6000200, 6004321, 4121
21, 6000210, 6004334, 4124
22, 6000220, 6004347, 4127
23, 6000230, 6004360, 4130
24, 6000240, 6004374, 4134
25, 6000250, 6004387, 4137
26, 6000260, 6004400, 4140
27, 6000270, 6004413, 4143
28, 6000280, 6004426, 4146
29, 6000290, 6004439, 4149
30, 6000300, 6004452, 4152
31, 6000310, 6004465, 4155
32, 6000320, 6004478, 4158
33, 6000330, 6004492, 4162
34, 6000340, 6004505, 4165
35, 6000350, 6004518, 4168
36, 6000360, 6004531, 4171
37, 6000370, 6004544, 4174
38, 6000380, 6004557, 4177
39, 6000390, 6004570, 4180
40, 6000400, 6004583, 4183
41, 6000410, 6004597, 4187
42, 6000420, 6004610, 4190
43, 6000430, 6004623, 4193
44, 6000440, 6004636, 4196
45, 6000450, 6004649, 4199
46, 6000460, 6004662, 4202
47, 6000470, 6004675, 4205
48, 6000480, 6004688, 4208
49, 6000490, 6004702, 4212
50, 6000500, 6004728, 4228
51, 6000510, 6004741, 4231
52, 6000520, 6004754, 4234
53, 6000530, 6004767, 4237
54, 6000540, 6004781, 4241
55, 6000550, 6004794, 4244
56, 6000560, 6004807, 4247
57, 6000570, 6004820, 4250
58, 6000580, 6004833, 4253
59, 6000590, 6004846, 4256
60, 6000600, 6004859, 4259
